HomeTeam,AwayTeam,FTHG,FTAG
Monterrey,Chiapas,4,1
Club Leon,Veracruz,4,0
Necaxa,Tigres UANL,1,1
Guadalajara Chivas,Puebla,3,2
UNAM Pumas,Toluca,0,1
Santos Laguna,Pachuca,1,0
Chiapas,Club Leon,0,0
Tigres UANL,Guadalajara Chivas,3,0
Veracruz,Puebla,3,2
Queretaro,Club Tijuana,0,1
Santos Laguna,Monterrey,2,2
Club America,Necaxa,1,0
Pachuca,Monarcas,0,0
Atlas,UNAM Pumas,1,1
Toluca,Cruz Azul,0,2
Chiapas,Club Tijuana,1,2
Atlas,Santos Laguna,1,1
Monarcas,Club Leon,1,2
Tigres UANL,UNAM Pumas,4,0
Veracruz,Necaxa,0,1
Pachuca,Guadalajara Chivas,0,0
Club America,Queretaro,1,0
Toluca,Monterrey,1,1
Puebla,Cruz Azul,2,1
Club Tijuana,Toluca,2,0
Cruz Azul,Guadalajara Chivas,2,1
Queretaro,Chiapas,2,2
Atlas,Pachuca,1,0
Monterrey,Tigres UANL,1,0
Club Leon,Puebla,1,0
Necaxa,Monarcas,2,1
UNAM Pumas,Veracruz,0,2
Santos Laguna,Club America,2,1
Veracruz,Monterrey,1,0
Chiapas,Santos Laguna,2,2
Monarcas,UNAM Pumas,4,0
Tigres UANL,Club Tijuana,3,0
Guadalajara Chivas,Club Leon,1,1
Pachuca,Cruz Azul,2,2
Club America,Atlas,1,2
Toluca,Queretaro,1,2
Puebla,Necaxa,0,1
Queretaro,Tigres UANL,1,5
Club Leon,Cruz Azul,1,2
Atlas,Chiapas,0,1
Club America,Pachuca,2,3
Club Tijuana,Veracruz,1,0
Monterrey,Monarcas,1,2
Necaxa,Guadalajara Chivas,0,0
UNAM Pumas,Puebla,0,1
Santos Laguna,Toluca,2,2
Tigres UANL,Monterrey,4,1
Santos Laguna,Toluca,1,4
Monarcas,Club Tijuana,1,0
Atlas,Guadalajara Chivas,1,0
Monterrey,Tigres UANL,0,2
Toluca,Santos Laguna,1,3
Guadalajara Chivas,Atlas,1,0
Club Tijuana,Monarcas,2,0
Toluca,Guadalajara Chivas,1,1
Tigres UANL,Club Tijuana,2,0
Guadalajara Chivas,Toluca,1,1
Club Tijuana,Tigres UANL,0,2
Tigres UANL,Guadalajara Chivas,2,2
Guadalajara Chivas,Tigres UANL,2,1
Monarcas,Monterrey,0,0
Club Tijuana,Cruz Azul,0,2
Club America,Queretaro,0,1
Lobos BUAP,Santos Laguna,2,2
Tigres UANL,Puebla,5,0
Club Leon,Atlas,0,3
Guadalajara Chivas,Toluca,0,0
UNAM Pumas,Pachuca,1,0
Veracruz,Necaxa,0,2
Puebla,Monarcas,1,1
Atlas,UNAM Pumas,2,1
Cruz Azul,Guadalajara Chivas,1,1
Queretaro,Lobos BUAP,0,4
Monterrey,Veracruz,1,0
Pachuca,Club America,0,2
Necaxa,Club Tijuana,1,0
Toluca,Club Leon,3,1
Santos Laguna,Tigres UANL,1,1
Monarcas,Santos Laguna,1,1
Club Tijuana,Monterrey,0,3
Lobos BUAP,Pachuca,3,2
Tigres UANL,Queretaro,1,1
Club Leon,Cruz Azul,2,2
Club America,UNAM Pumas,2,1
Guadalajara Chivas,Necaxa,2,2
Toluca,Atlas,3,2
Veracruz,Puebla,2,0
Puebla,Club Tijuana,1,1
Atlas,Club America,0,1
Cruz Azul,Toluca,0,0
Queretaro,Monarcas,2,1
Monterrey,Guadalajara Chivas,4,1
Pachuca,Tigres UANL,2,1
Necaxa,Club Leon,0,3
UNAM Pumas,Lobos BUAP,2,0
Santos Laguna,Veracruz,2,3
Monarcas,Pachuca,1,2
Club Tijuana,Santos Laguna,2,0
Cruz Azul,Atlas,2,1
Lobos BUAP,Club America,2,3
Tigres UANL,UNAM Pumas,2,0
Veracruz,Queretaro,1,1
Club Leon,Monterrey,1,2
Guadalajara Chivas,Puebla,0,1
Toluca,Necaxa,0,0
Pachuca,Veracruz,4,1
Atlas,Lobos BUAP,1,1
Queretaro,Club Tijuana,1,3
UNAM Pumas,Monarcas,1,2
Club America,Tigres UANL,2,2
Puebla,Club Leon,0,1
Santos Laguna,Guadalajara Chivas,1,1
Monterrey,Toluca,4,1
Necaxa,Cruz Azul,1,1
Club Tijuana,Pachuca,2,1
Cruz Azul,Monterrey,1,1
Tigres UANL,Lobos BUAP,3,2
Club Leon,Santos Laguna,1,2
Monarcas,Club America,2,0
Necaxa,Atlas,2,1
Guadalajara Chivas,Queretaro,0,0
Toluca,Puebla,2,1
Veracruz,UNAM Pumas,1,0
Puebla,Cruz Azul,0,0
Lobos BUAP,Monarcas,1,3
Queretaro,Club Leon,1,2
Monterrey,Necaxa,1,0
Pachuca,Guadalajara Chivas,1,3
Club America,Veracruz,2,0
UNAM Pumas,Club Tijuana,0,2
Santos Laguna,Toluca,0,0
Monarcas,Tigres UANL,3,3
Club Tijuana,Club America,1,1
Cruz Azul,Santos Laguna,2,1
Monterrey,Atlas,2,1
Club Leon,Pachuca,3,1
Necaxa,Puebla,1,1
Guadalajara Chivas,UNAM Pumas,1,1
Toluca,Queretaro,3,2
Veracruz,Lobos BUAP,0,1
Guadalajara Chivas,Lobos BUAP,1,2
Puebla,Atlas,1,2
Veracruz,Monarcas,2,1
Club Tijuana,Tigres UANL,0,1
Club Leon,Club America,2,1
Necaxa,Queretaro,1,0
Toluca,UNAM Pumas,2,1
Pachuca,Cruz Azul,4,0
Monarcas,Club Tijuana,3,0
Atlas,Veracruz,2,0
Lobos BUAP,Club Leon,0,3
Queretaro,Monterrey,2,2
Tigres UANL,Guadalajara Chivas,1,0
Pachuca,Necaxa,0,0
Toluca,Club America,1,2
UNAM Pumas,Cruz Azul,1,4
Santos Laguna,Puebla,0,0
Toluca,Lobos BUAP,3,1
Puebla,Queretaro,2,2
Club Tijuana,Veracruz,0,0
Cruz Azul,Club America,1,3
Monterrey,Pachuca,2,0
Club Leon,Tigres UANL,1,0
Necaxa,UNAM Pumas,0,0
Guadalajara Chivas,Monarcas,1,2
Santos Laguna,Atlas,0,1
Lobos BUAP,Club Tijuana,1,2
Queretaro,Cruz Azul,1,2
Tigres UANL,Veracruz,1,0
UNAM Pumas,Club Leon,2,0
Atlas,Monarcas,0,1
Santos Laguna,Necaxa,3,2
Pachuca,Toluca,2,2
Club America,Guadalajara Chivas,2,1
Puebla,Monterrey,2,0
Monarcas,Club Leon,0,0
Atlas,Club Tijuana,1,0
Lobos BUAP,Cruz Azul,3,0
Queretaro,Santos Laguna,1,2
Tigres UANL,Toluca,3,0
Pachuca,Puebla,1,0
Club America,Necaxa,0,1
UNAM Pumas,Monterrey,0,1
Veracruz,Guadalajara Chivas,2,3
Puebla,UNAM Pumas,3,0
Cruz Azul,Tigres UANL,1,2
Queretaro,Atlas,2,2
Monterrey,Club America,2,0
Club Leon,Veracruz,6,2
Necaxa,Lobos BUAP,5,0
Guadalajara Chivas,Club Tijuana,3,1
Toluca,Monarcas,0,1
Santos Laguna,Pachuca,2,2
Atlas,Tigres UANL,1,1
Monarcas,Cruz Azul,1,2
Club Tijuana,Club Leon,2,1
Lobos BUAP,Monterrey,2,1
Pachuca,Queretaro,0,1
Club America,Puebla,1,1
Guadalajara Chivas,Atlas,1,2
UNAM Pumas,Santos Laguna,2,2
Tigres UANL,Necaxa,1,0
Veracruz,Toluca,0,1
Monterrey,Santos Laguna,1,1
Puebla,Lobos BUAP,0,1
Atlas,Pachuca,1,1
Cruz Azul,Veracruz,1,0
Queretaro,UNAM Pumas,1,1
Monterrey,Tigres UANL,2,0
Club Leon,Guadalajara Chivas,0,2
Necaxa,Monarcas,1,2
Toluca,Club Tijuana,3,1
Santos Laguna,Club America,0,1
Toluca,Monarcas,2,1
Club Leon,Tigres UANL,1,1
Cruz Azul,Club America,0,0
Atlas,Monterrey,1,2
Tigres UANL,Club Leon,1,1
Monarcas,Toluca,2,1
Monterrey,Atlas,4,1
Club America,Cruz Azul,0,0
Club America,Tigres UANL,0,1
Monarcas,Monterrey,0,1
Tigres UANL,Club America,3,0
Monterrey,Monarcas,4,0
Tigres UANL,Monterrey,1,1
Monterrey,Tigres UANL,1,2
Puebla,Tigres UANL,2,1
Atlas,Club Leon,1,2
Cruz Azul,Club Tijuana,0,0
Monterrey,Monarcas,1,1
Pachuca,UNAM Pumas,2,3
Necaxa,Veracruz,0,0
Toluca,Guadalajara Chivas,1,1
Queretaro,Club America,0,1
Santos Laguna,Lobos BUAP,4,2
Club Tijuana,Necaxa,1,0
Monarcas,Puebla,1,0
Club America,Pachuca,2,2
Lobos BUAP,Queretaro,0,2
Tigres UANL,Santos Laguna,2,1
Club Leon,Toluca,3,1
Guadalajara Chivas,Cruz Azul,1,3
UNAM Pumas,Atlas,3,1
Veracruz,Monterrey,0,2
Puebla,Veracruz,2,0
Atlas,Toluca,1,3
Cruz Azul,Club Leon,0,0
Queretaro,Tigres UANL,0,0
Monterrey,Club Tijuana,0,0
Pachuca,Lobos BUAP,3,1
Necaxa,Guadalajara Chivas,1,3
UNAM Pumas,Club America,0,0
Santos Laguna,Monarcas,1,0
Monarcas,Queretaro,1,0
Club Tijuana,Puebla,2,0
Lobos BUAP,UNAM Pumas,1,1
Tigres UANL,Pachuca,3,2
Club Leon,Necaxa,0,4
Club America,Atlas,1,0
Guadalajara Chivas,Monterrey,1,2
Toluca,Cruz Azul,1,1
Veracruz,Santos Laguna,1,1
Puebla,Guadalajara Chivas,2,0
Atlas,Cruz Azul,2,1
Queretaro,Veracruz,0,1
Monterrey,Club Leon,5,1
Santos Laguna,Club Tijuana,0,0
Pachuca,Monarcas,2,3
Club America,Lobos BUAP,5,1
Necaxa,Toluca,0,0
UNAM Pumas,Tigres UANL,2,0
Monarcas,UNAM Pumas,1,2
Club Tijuana,Queretaro,0,2
Cruz Azul,Necaxa,0,2
Lobos BUAP,Atlas,3,1
Tigres UANL,Club America,1,1
Club Leon,Puebla,2,1
Guadalajara Chivas,Santos Laguna,0,2
Toluca,Monterrey,2,1
Veracruz,Pachuca,0,1
Atlas,Necaxa,1,1
Lobos BUAP,Tigres UANL,0,0
Club America,Monarcas,4,1
Queretaro,Guadalajara Chivas,2,2
Santos Laguna,Club Leon,5,1
Monterrey,Cruz Azul,2,2
Puebla,Toluca,2,0
UNAM Pumas,Veracruz,1,2
Pachuca,Club Tijuana,2,0
Monarcas,Lobos BUAP,2,1
Cruz Azul,Puebla,1,1
Tigres UANL,Atlas,2,0
Club Leon,Queretaro,1,1
Club Tijuana,UNAM Pumas,4,1
Necaxa,Monterrey,3,0
Guadalajara Chivas,Pachuca,1,1
Toluca,Santos Laguna,2,0
Veracruz,Club America,1,1
Atlas,Monterrey,0,1
Puebla,Necaxa,1,1
Lobos BUAP,Veracruz,5,0
Queretaro,Toluca,0,2
Tigres UANL,Monarcas,2,1
Pachuca,Club Leon,2,1
Club America,Club Tijuana,0,0
UNAM Pumas,Guadalajara Chivas,1,1
Santos Laguna,Cruz Azul,2,0
Club Tijuana,Lobos BUAP,3,1
Monarcas,Atlas,2,1
Cruz Azul,Queretaro,0,1
Monterrey,Puebla,1,3
Club Leon,UNAM Pumas,3,0
Necaxa,Santos Laguna,1,2
Guadalajara Chivas,Club America,1,1
Toluca,Pachuca,2,1
Veracruz,Tigres UANL,0,2
Monarcas,Veracruz,2,0
Atlas,Puebla,1,0
Cruz Azul,Pachuca,5,0
Lobos BUAP,Guadalajara Chivas,0,1
Queretaro,Necaxa,1,1
Tigres UANL,Club Tijuana,1,0
Club America,Club Leon,2,0
UNAM Pumas,Toluca,0,1
Santos Laguna,Monterrey,3,2
Puebla,Santos Laguna,0,1
Club Tijuana,Monarcas,1,1
Cruz Azul,UNAM Pumas,1,1
Monterrey,Queretaro,3,1
Club Leon,Lobos BUAP,2,2
Club America,Toluca,1,2
Necaxa,Pachuca,1,1
Guadalajara Chivas,Tigres UANL,0,0
Veracruz,Atlas,3,1
Monarcas,Guadalajara Chivas,1,2
Atlas,Santos Laguna,3,2
Lobos BUAP,Toluca,1,2
Queretaro,Puebla,2,1
Tigres UANL,Club Leon,4,1
Pachuca,Monterrey,1,2
Club America,Cruz Azul,2,1
UNAM Pumas,Necaxa,1,1
Veracruz,Club Tijuana,1,0
Puebla,Pachuca,2,6
Club Tijuana,Atlas,2,2
Cruz Azul,Lobos BUAP,1,0
Monterrey,UNAM Pumas,2,1
Club Leon,Monarcas,2,3
Necaxa,Club America,1,1
Guadalajara Chivas,Veracruz,0,1
Toluca,Tigres UANL,1,0
Santos Laguna,Queretaro,3,0
Atlas,Queretaro,1,0
Club Tijuana,Guadalajara Chivas,3,0
Lobos BUAP,Necaxa,0,1
Tigres UANL,Cruz Azul,2,2
Pachuca,Santos Laguna,3,1
Monarcas,Toluca,0,1
Club America,Monterrey,0,0
UNAM Pumas,Puebla,4,2
Veracruz,Club Leon,1,2
Puebla,Club America,3,1
Atlas,Guadalajara Chivas,1,0
Cruz Azul,Monarcas,2,0
Queretaro,Pachuca,0,0
Monterrey,Lobos BUAP,4,0
Club Leon,Club Tijuana,1,1
Necaxa,Tigres UANL,1,1
Toluca,Veracruz,3,0
Santos Laguna,UNAM Pumas,1,2
Monarcas,Necaxa,2,2
Club Tijuana,Toluca,1,0
Lobos BUAP,Puebla,0,1
Tigres UANL,Monterrey,2,2
Pachuca,Atlas,0,0
Club America,Santos Laguna,1,0
Guadalajara Chivas,Club Leon,0,2
UNAM Pumas,Queretaro,1,1
Veracruz,Cruz Azul,1,2
UNAM Pumas,Club America,1,4
Club Tijuana,Monterrey,1,1
Tigres UANL,Santos Laguna,2,0
Monarcas,Toluca,2,2
Club America,UNAM Pumas,2,1
Monterrey,Club Tijuana,1,2
Toluca,Monarcas,2,2
Santos Laguna,Tigres UANL,2,0
Santos Laguna,Club America,4,1
Club Tijuana,Toluca,2,1
Toluca,Club Tijuana,4,1
Club America,Santos Laguna,2,2
Santos Laguna,Toluca,2,1
Toluca,Santos Laguna,1,1
Veracruz,UNAM Pumas,0,2
Atlas,Queretaro,0,0
Cruz Azul,Puebla,3,0
Pachuca,Monterrey,0,1
Club Tijuana,Guadalajara Chivas,2,1
Tigres UANL,Club Leon,2,0
Toluca,Monarcas,2,0
Santos Laguna,Lobos BUAP,2,1
Necaxa,Club America,2,1
Monarcas,Santos Laguna,3,1
Puebla,Toluca,2,1
Queretaro,Pachuca,1,0
Club America,Atlas,3,0
Guadalajara Chivas,Cruz Azul,0,1
UNAM Pumas,Necaxa,5,3
Lobos BUAP,Veracruz,2,0
Tigres UANL,Club Tijuana,1,0
Club Leon,Monterrey,0,2
Veracruz,Monarcas,2,2
Atlas,UNAM Pumas,0,3
Necaxa,Lobos BUAP,1,0
Pachuca,Club America,1,3
Cruz Azul,Tigres UANL,1,0
Monterrey,Queretaro,2,1
Toluca,Guadalajara Chivas,2,2
Santos Laguna,Puebla,2,0
Club Tijuana,Club Leon,1,1
Puebla,Veracruz,1,2
Monarcas,Necaxa,2,1
Lobos BUAP,Atlas,0,0
Club Leon,Queretaro,4,0
Tigres UANL,Toluca,1,2
Club America,Monterrey,3,0
UNAM Pumas,Pachuca,0,0
Guadalajara Chivas,Santos Laguna,1,2
Club Tijuana,Cruz Azul,1,1
Veracruz,Guadalajara Chivas,0,2
Atlas,Monarcas,0,1
Cruz Azul,Club Leon,3,0
Pachuca,Lobos BUAP,3,0
Necaxa,Puebla,2,2
Queretaro,Club America,1,1
Monterrey,UNAM Pumas,1,0
Toluca,Club Tijuana,3,0
Santos Laguna,Tigres UANL,3,1
Monarcas,Pachuca,1,1
UNAM Pumas,Queretaro,0,1
Guadalajara Chivas,Necaxa,1,0
Puebla,Atlas,2,0
Club Leon,Club America,2,0
Cruz Azul,Toluca,1,0
Lobos BUAP,Monterrey,1,2
Tigres UANL,Veracruz,4,0
Club Tijuana,Santos Laguna,2,2
Atlas,Guadalajara Chivas,0,1
Pachuca,Puebla,2,0
Club America,UNAM Pumas,2,2
Veracruz,Club Tijuana,1,0
Necaxa,Tigres UANL,1,1
Monterrey,Monarcas,2,2
Queretaro,Lobos BUAP,2,0
Toluca,Club Leon,1,2
Santos Laguna,Cruz Azul,1,1
Monarcas,Queretaro,1,4
Puebla,Monterrey,2,1
Club Tijuana,Necaxa,1,0
Cruz Azul,Veracruz,4,1
Club Leon,UNAM Pumas,1,2
Tigres UANL,Atlas,3,1
Guadalajara Chivas,Pachuca,1,3
Toluca,Santos Laguna,2,1
Lobos BUAP,Club America,0,2
Veracruz,Toluca,2,3
Queretaro,Puebla,0,1
Club America,Monarcas,2,1
Pachuca,Tigres UANL,1,1
Necaxa,Cruz Azul,2,0
Monterrey,Guadalajara Chivas,2,4
UNAM Pumas,Lobos BUAP,4,2
Santos Laguna,Club Leon,3,0
Atlas,Club Tijuana,0,1
Monarcas,UNAM Pumas,0,0
Puebla,Club America,2,3
Toluca,Necaxa,3,2
Club Leon,Lobos BUAP,0,1
Cruz Azul,Atlas,2,0
Club Tijuana,Pachuca,1,0
Guadalajara Chivas,Queretaro,1,1
Santos Laguna,Veracruz,1,1
Tigres UANL,Monterrey,0,0
Veracruz,Club Leon,0,4
Atlas,Toluca,2,0
Queretaro,Tigres UANL,0,2
Pachuca,Cruz Azul,3,1
Necaxa,Santos Laguna,0,1
Monterrey,Club Tijuana,3,0
UNAM Pumas,Puebla,2,2
Lobos BUAP,Monarcas,3,1
Club America,Guadalajara Chivas,1,1
Santos Laguna,Atlas,3,1
Veracruz,Necaxa,0,0
Cruz Azul,Monterrey,2,1
Club Leon,Monarcas,1,2
Tigres UANL,Club America,2,3
Guadalajara Chivas,UNAM Pumas,1,2
Club Tijuana,Queretaro,1,1
Toluca,Pachuca,2,1
Puebla,Lobos BUAP,2,2
Atlas,Veracruz,4,3
Queretaro,Cruz Azul,2,0
Club America,Club Tijuana,3,0
Pachuca,Santos Laguna,1,1
Necaxa,Club Leon,0,2
Monterrey,Toluca,2,1
Lobos BUAP,Guadalajara Chivas,1,1
UNAM Pumas,Tigres UANL,3,3
Monarcas,Puebla,2,0
Santos Laguna,Monterrey,1,0
Veracruz,Pachuca,2,3
Necaxa,Atlas,2,2
Guadalajara Chivas,Monarcas,1,2
Tigres UANL,Lobos BUAP,2,2
Cruz Azul,Club America,0,0
Club Tijuana,UNAM Pumas,0,1
Toluca,Queretaro,4,0
Club Leon,Puebla,0,4
Monarcas,Tigres UANL,0,2
Puebla,Guadalajara Chivas,2,2
Pachuca,Necaxa,6,2
Club America,Toluca,1,1
Monterrey,Veracruz,2,0
Lobos BUAP,Club Tijuana,3,1
UNAM Pumas,Cruz Azul,1,2
Queretaro,Santos Laguna,2,1
Atlas,Club Leon,0,0
Veracruz,Queretaro,2,2
Atlas,Pachuca,0,0
Cruz Azul,Lobos BUAP,2,1
Club Leon,Guadalajara Chivas,0,1
Tigres UANL,Puebla,6,1
Club Tijuana,Monarcas,2,3
Necaxa,Monterrey,1,1
Toluca,UNAM Pumas,0,1
Santos Laguna,Club America,1,1
Monarcas,Cruz Azul,0,2
Puebla,Club Tijuana,0,0
Queretaro,Necaxa,1,0
Club America,Veracruz,4,1
Pachuca,Club Leon,1,1
Guadalajara Chivas,Tigres UANL,0,1
Monterrey,Atlas,3,1
UNAM Pumas,Santos Laguna,1,1
Lobos BUAP,Toluca,2,0
Queretaro,Cruz Azul,0,2
Monterrey,Santos Laguna,1,0
Toluca,Club America,2,2
Tigres UANL,UNAM Pumas,2,1
Cruz Azul,Queretaro,1,1
Santos Laguna,Monterrey,0,2
UNAM Pumas,Tigres UANL,3,1
Club America,Toluca,3,2
Monterrey,Cruz Azul,1,0
UNAM Pumas,Club America,1,1
Cruz Azul,Monterrey,1,0
Club America,UNAM Pumas,6,1
Club America,Cruz Azul,0,0
Cruz Azul,Club America,0,2
Monarcas,Toluca,1,3
Puebla,Cruz Azul,1,1
Queretaro,Atlas,1,2
Monterrey,Pachuca,5,0
Club Leon,Tigres UANL,2,2
Guadalajara Chivas,Club Tijuana,2,0
UNAM Pumas,Veracruz,0,0
Lobos BUAP,Santos Laguna,2,0
Veracruz,Lobos BUAP,0,1
Atlas,Club America,1,2
Monterrey,Club Leon,2,2
Cruz Azul,Guadalajara Chivas,0,1
Pachuca,Queretaro,3,0
Club Tijuana,Tigres UANL,0,3
Necaxa,UNAM Pumas,2,1
Toluca,Puebla,2,0
Santos Laguna,Monarcas,1,0
Monarcas,Veracruz,2,0
Puebla,Santos Laguna,1,1
Queretaro,Monterrey,1,2
Club America,Pachuca,3,0
Tigres UANL,Cruz Azul,0,1
UNAM Pumas,Atlas,2,2
Lobos BUAP,Necaxa,2,3
Guadalajara Chivas,Toluca,1,0
Club Leon,Club Tijuana,0,1
Veracruz,Puebla,0,1
Atlas,Lobos BUAP,3,1
Cruz Azul,Club Tijuana,1,0
Monterrey,Club America,3,2
Pachuca,UNAM Pumas,1,0
Necaxa,Monarcas,0,0
Toluca,Tigres UANL,0,1
Queretaro,Club Leon,0,4
Santos Laguna,Guadalajara Chivas,1,0
Monarcas,Atlas,1,2
Puebla,Necaxa,1,4
Club America,Queretaro,2,0
Club Leon,Cruz Azul,2,0
Tigres UANL,Santos Laguna,2,1
Club Tijuana,Toluca,2,0
UNAM Pumas,Monterrey,1,1
Lobos BUAP,Pachuca,1,1
Guadalajara Chivas,Veracruz,0,0
Veracruz,Tigres UANL,0,2
Atlas,Puebla,1,2
Monterrey,Lobos BUAP,4,0
Queretaro,UNAM Pumas,0,2
Club America,Club Leon,0,3
Pachuca,Monarcas,2,0
Necaxa,Guadalajara Chivas,3,3
Toluca,Cruz Azul,1,1
Santos Laguna,Club Tijuana,1,1
Monarcas,Monterrey,2,3
Puebla,Pachuca,1,1
Club Tijuana,Veracruz,3,0
Cruz Azul,Santos Laguna,1,2
Club Leon,Toluca,3,0
Tigres UANL,Necaxa,3,2
Guadalajara Chivas,Atlas,3,0
UNAM Pumas,Club America,1,0
Lobos BUAP,Queretaro,3,1
Atlas,Tigres UANL,0,1
Veracruz,Cruz Azul,1,1
Queretaro,Monarcas,3,0
Club America,Lobos BUAP,3,0
Monterrey,Puebla,0,0
Necaxa,Club Tijuana,1,2
Pachuca,Guadalajara Chivas,3,1
UNAM Pumas,Club Leon,1,3
Santos Laguna,Toluca,4,0
Club Tijuana,Atlas,3,1
Monarcas,Club America,2,2
Cruz Azul,Necaxa,2,1
Club Leon,Santos Laguna,3,0
Tigres UANL,Pachuca,3,0
Guadalajara Chivas,Monterrey,0,2
Toluca,Veracruz,3,1
Lobos BUAP,UNAM Pumas,2,1
Puebla,Queretaro,1,0
Club America,Necaxa,1,3
Veracruz,Santos Laguna,2,2
Atlas,Cruz Azul,0,2
Pachuca,Club Tijuana,4,0
Club America,Puebla,1,0
Monterrey,Tigres UANL,1,1
Necaxa,Toluca,1,1
Queretaro,Guadalajara Chivas,0,0
UNAM Pumas,Monarcas,2,2
Lobos BUAP,Club Leon,0,1
Monarcas,Lobos BUAP,1,1
Puebla,UNAM Pumas,1,0
Cruz Azul,Pachuca,4,1
Guadalajara Chivas,Club America,0,2
Tigres UANL,Queretaro,4,1
Club Tijuana,Monterrey,1,0
Toluca,Atlas,2,0
Santos Laguna,Necaxa,1,2
Club Leon,Veracruz,2,0
Monarcas,Club Leon,2,3
Atlas,Santos Laguna,1,0
Queretaro,Club Tijuana,1,0
Club America,Tigres UANL,3,0
Pachuca,Toluca,3,2
Monterrey,Cruz Azul,2,2
Necaxa,Veracruz,2,0
UNAM Pumas,Guadalajara Chivas,2,1
Lobos BUAP,Puebla,0,4
Veracruz,Atlas,0,1
Puebla,Monarcas,1,1
Cruz Azul,Queretaro,3,0
Club Leon,Necaxa,2,1
Tigres UANL,UNAM Pumas,2,0
Guadalajara Chivas,Lobos BUAP,0,1
Club Tijuana,Club America,3,2
Toluca,Monterrey,5,1
Santos Laguna,Pachuca,0,0
Atlas,Necaxa,1,2
Puebla,Club Leon,0,3
Queretaro,Toluca,0,0
Pachuca,Veracruz,9,2
Monarcas,Guadalajara Chivas,1,0
UNAM Pumas,Club Tijuana,1,0
Lobos BUAP,Tigres UANL,0,3
Club America,Cruz Azul,0,0
Monterrey,Santos Laguna,4,0
Veracruz,Monterrey,0,1
Club Tijuana,Lobos BUAP,1,2
Necaxa,Pachuca,2,2
Club Leon,Atlas,5,2
Cruz Azul,UNAM Pumas,2,1
Tigres UANL,Monarcas,3,3
Guadalajara Chivas,Puebla,1,3
Toluca,Club America,3,2
Santos Laguna,Queretaro,2,1
Puebla,Tigres UANL,1,1
Monarcas,Club Tijuana,1,4
Pachuca,Atlas,1,0
Club America,Santos Laguna,1,0
Monterrey,Necaxa,2,2
Guadalajara Chivas,Club Leon,2,1
UNAM Pumas,Toluca,2,2
Lobos BUAP,Cruz Azul,1,4
Queretaro,Veracruz,2,1
Veracruz,Club America,0,2
Cruz Azul,Monarcas,1,1
Club Leon,Pachuca,2,1
Tigres UANL,Guadalajara Chivas,2,1
Necaxa,Queretaro,1,0
Club Tijuana,Puebla,4,0
Toluca,Lobos BUAP,4,0
Atlas,Monterrey,2,0
Santos Laguna,UNAM Pumas,5,2
Pachuca,Tigres UANL,1,1
Club Tijuana,Club Leon,1,3
Necaxa,Monterrey,1,0
Club America,Cruz Azul,3,1
Tigres UANL,Pachuca,1,1
Club Leon,Club Tijuana,2,1
Cruz Azul,Club America,1,0
Monterrey,Necaxa,1,0
Monterrey,Tigres UANL,1,0
Club America,Club Leon,0,1
Tigres UANL,Monterrey,1,0
Club Leon,Club America,0,1
Tigres UANL,Club Leon,1,0
Club Leon,Tigres UANL,0,0
Puebla,Club Tijuana,1,3
Atlas,Juarez,1,0
Atl. San Luis,UNAM Pumas,0,2
Pachuca,Club Leon,1,3
Club America,Monterrey,4,2
Necaxa,Cruz Azul,0,0
Tigres UANL,Monarcas,4,2
Toluca,Queretaro,0,2
Santos Laguna,Guadalajara Chivas,3,0
Monarcas,Atlas,0,1
Veracruz,Pachuca,3,3
Club Leon,Club America,0,0
Cruz Azul,Toluca,1,1
Club Tijuana,Queretaro,1,1
UNAM Pumas,Necaxa,2,0
Atl. San Luis,Monterrey,1,0
Santos Laguna,Juarez,3,0
Guadalajara Chivas,Tigres UANL,2,0
Puebla,Guadalajara Chivas,1,1
Atlas,Santos Laguna,1,2
Queretaro,Cruz Azul,3,0
Club America,Club Tijuana,3,1
Pachuca,Monarcas,1,2
Necaxa,Veracruz,7,0
Monterrey,Club Leon,3,2
UNAM Pumas,Tigres UANL,0,1
Juarez,Toluca,2,0
Monarcas,Monterrey,0,1
Veracruz,Atlas,1,2
Club Tijuana,UNAM Pumas,1,0
Cruz Azul,Juarez,2,0
Queretaro,Pachuca,2,1
Tigres UANL,Necaxa,3,1
Guadalajara Chivas,Atl. San Luis,3,0
Toluca,Club America,0,1
Santos Laguna,Puebla,4,1
Puebla,Pachuca,0,4
Atlas,Cruz Azul,1,3
Atl. San Luis,Tigres UANL,1,1
Club Leon,Guadalajara Chivas,4,3
Club America,Monarcas,1,0
Monterrey,Toluca,2,0
UNAM Pumas,Veracruz,2,0
Necaxa,Santos Laguna,3,0
Juarez,Queretaro,0,2
Veracruz,Atl. San Luis,1,2
Monarcas,UNAM Pumas,2,0
Santos Laguna,Monterrey,2,1
Queretaro,Club Leon,0,4
Cruz Azul,Puebla,1,1
Pachuca,Atlas,3,1
Tigres UANL,Club America,1,1
Toluca,Club Tijuana,2,0
Guadalajara Chivas,Necaxa,1,2
Atl. San Luis,Monarcas,1,1
Atlas,Tigres UANL,1,1
Veracruz,Queretaro,0,5
Club America,Pachuca,1,1
Club Leon,Santos Laguna,2,2
Necaxa,Toluca,1,1
Club Tijuana,Cruz Azul,3,2
Puebla,Juarez,2,1
Monterrey,UNAM Pumas,2,0
Monarcas,Veracruz,1,0
Atlas,Club America,3,0
